group,sales,prob,profit,size,total_profit,lift_over_avg,per_of_profit,incr_proj_profit_100k_cust_base,total_proj_profit_100k_cust_base,cuml_proj_profit_100k_cust_base,cuml_total_profit_100k_cust_base
"(469.685, 1113.708]",-83.77902582244275,0.2878095940306058,639.6624312275812,327,209169.61501141905,1584.8062901171386,-0.06767884330107335,15848.062901171386,6396.624312275812,15848.062901171386,6396.624312275812
"(314.997, 469.685]",-52.578018326203946,0.2830204851356204,384.43818990834814,327,125711.28810002984,1329.5820487979054,-0.04067509790097158,13295.820487979054,3844.3818990834816,29143.88338915044,10241.006211359294
"(175.784, 314.997]",-35.84375512716134,0.27816098470954365,247.5519169401795,327,80949.47683943869,1192.695775829737,-0.026191982798367482,11926.957758297369,2475.519169401795,41070.841147447805,12716.52538076109
"(40.555, 175.784]",-18.818785881445983,0.27371522387892244,108.2876685102281,327,35410.06760284459,1053.4315273997854,-0.01145726838213333,10534.315273997854,1082.876685102281,51605.15642144566,13799.40206586337
"(-114.836, 40.555]",-1.5550607601193618,0.2674718174169483,-32.9296029822236,326,-10735.050572204893,912.2142559073337,0.0034840836844575547,9122.142559073338,-329.296029822236,60727.298980519,13470.106036041136
"(-297.334, -114.836]",19.69372612135686,0.26180498010466924,-206.74467967269933,327,-67605.51025297269,738.399179216858,0.021874413903043517,7383.99179216858,-2067.4467967269934,68111.29077268759,11402.659239314142
"(-2109.393, -297.334]",60.93790554272678,0.2543353979675288,-544.122067339505,327,-177927.9160200181,401.0217915500524,0.057570290725772695,4010.217915500524,-5441.22067339505,72121.50868818811,5961.438565919092
"(-2955.636, -2109.393]",332.17764725481493,0.274799391859222,-2762.8631545443873,327,-903456.2515360146,-1817.71929565483,0.2923219707305145,-18177.1929565483,-27628.631545443874,53944.315731639814,-21667.19297952478
"(-3331.659, -2955.636]",377.8595060832686,0.2682534680186352,-3136.540759761137,327,-1025648.8284418918,-2191.3969008715794,0.3318585557384075,-21913.969008715794,-31365.40759761137,32030.34672292402,-53032.60057713615
"(-12326.929, -3331.659]",501.53160527896864,0.2545916537020085,-4148.1785311819585,327,-1356454.3796965005,-3203.0346722924014,0.43889387760035004,-32030.346722924012,-41481.785311819585,7.275957614183426e-12,-94514.38588895573
